标题,价格(元/月),区域,户型,面积(㎡),朝向,详情链接,驾车距离,驾车时间,公交时间,步行距离,步行时间
整租·同人·西湖东郡 3室1厅 东,1600,西乡塘区-心圩区-同人 - 西湖东郡,3室1厅1卫,86.0,东,https://nn.zu.ke.com/zufang/NN2059271932993339392.html,11.2公里,24分钟,34分钟,8.8公里,117分钟
整租·畅春湖山庄 3室2厅 南,1500,兴宁区-东沟岭-畅春湖山庄,3室2厅2卫,100.0,南,https://nn.zu.ke.com/zufang/NN2045357877522071552.html,12.2公里,31分钟,32分钟,7.5公里,100分钟
整租·万科金域蓝湾 4室2厅 南,2100,良庆区-五象湖-万科金域蓝湾,4室2厅2卫,108.0,南,https://nn.zu.ke.com/zufang/NN2011726574189019136.html,13.3公里,38分钟,51分钟,12.8公里,170分钟
整租·恒大雅苑 3室3厅 东南,1500,兴宁区-凤岭北-恒大雅苑,3室3厅2卫,110.0,东南,https://nn.zu.ke.com/zufang/NN2053826688525008896.html,17.6公里,39分钟,72分钟,14.1公里,188分钟
整租·梦之岛花园 4室2厅 南,2500,青秀区-琅东-梦之岛花园,4室2厅2卫,135.0,南,https://nn.zu.ke.com/zufang/NN2043935331891281920.html,12.1公里,37分钟,45分钟,11.2公里,150分钟
整租·龙光玖誉湖林湖 3室2厅 南,1400,良庆区-五象文旅-龙光玖誉湖林湖,3室2厅2卫,90.0,南,https://nn.zu.ke.com/zufang/NN2054813530300874752.html,14.4公里,42分钟,55分钟,14.1公里,188分钟
整租·新城悦隽风华 3室2厅 南,1500,邕宁区-龙岗-新城悦隽风华,3室2厅2卫,100.0,南,https://nn.zu.ke.com/zufang/NN2035763563779325952.html,15.3公里,37分钟,71分钟,15.8公里,210分钟
整租·桃源湖居 2室1厅 东,700,青秀区-星湖-桃源湖居,2室1厅1卫,90.0,东,https://nn.zu.ke.com/zufang/NN2006281972942372864.html,2.6公里,11分钟,29分钟,2.7公里,36分钟
整租·万达茂天樾 1室1厅 东南,800,邕宁区-五象文旅-万达茂天樾,1室1厅1卫,50.0,东南,https://nn.zu.ke.com/zufang/NN2057732357309333504.html,14.3公里,34分钟,68分钟,14.6公里,195分钟
整租·植物路区信托宿舍 2室1厅 南,900,青秀区-星湖-植物路区信托宿舍,2室1厅1卫,82.5,南,https://nn.zu.ke.com/zufang/NN2052378724258545664.html,3.4公里,17分钟,27分钟,3.2公里,43分钟
整租·东盟世纪村 2室2厅 南,1000,青秀区-柳沙-东盟世纪村,2室2厅1卫,88.0,南,https://nn.zu.ke.com/zufang/NN2047914945110081536.html,6.7公里,27分钟,52分钟,6.3公里,84分钟
整租·广源悦府 3室2厅 东南,1500,良庆区-五象核心区-广源悦府,3室2厅2卫,113.0,东南,https://nn.zu.ke.com/zufang/NN2042553642208198656.html,11.3公里,34分钟,46分钟,11.0公里,147分钟
整租·塞纳维拉花园 4室2厅 错层 南,5000,青秀区-凤岭北-塞纳维拉花园,4室2厅2卫,143.0,南,https://nn.zu.ke.com/zufang/NN1958409064580907008.html,9.9公里,33分钟,35分钟,9.9公里,132分钟
整租·云星城 1室0厅 东南,2000,青秀区-星湖-云星城,1室0厅1卫,35.0,东南,https://nn.zu.ke.com/zufang/NN1958401914915782656.html,2.1公里,9分钟,11分钟,2.0公里,27分钟
整租·亿鼎安吉商业广场 1室1厅 北,4600,西乡塘区-安吉-亿鼎安吉商业广场,1室1厅1卫,212.0,北,https://nn.zu.ke.com/zufang/NN1958359683706126336.html,7.8公里,25分钟,29分钟,6.8公里,90分钟
整租·幸福里 2室2厅 南,8300,青秀区-东盟商务区-幸福里,2室2厅1卫,98.0,南,https://nn.zu.ke.com/zufang/NN1958444168111980544.html,8.3公里,37分钟,29分钟,8.2公里,110分钟
整租·桂盐大厦 4室2厅 东南,4000,青秀区-金湖-桂盐大厦,4室2厅2卫,150.0,东南,https://nn.zu.ke.com/zufang/NN1957724238987132928.html,6.0公里,27分钟,20分钟,5.8公里,77分钟
整租·凯业花园 4室2厅 南/北,5000,青秀区-青秀万达-凯业花园,4室2厅2卫,140.0,,https://nn.zu.ke.com/zufang/NN1957817833966534656.html,6.3公里,25分钟,38分钟,5.3公里,71分钟
整租·光明·澜湾九里 3室2厅 东南,1700,良庆区-五象核心区-光明 - 澜湾九里,3室2厅1卫,89.0,东南,https://nn.zu.ke.com/zufang/NN1958030999656857600.html,12.2公里,40分钟,42分钟,11.8公里,158分钟
整租·和润园 4室2厅 南,5200,青秀区-东盟商务区-和润园,4室2厅2卫,158.0,南,https://nn.zu.ke.com/zufang/NN1958043304385839104.html,10.9公里,41分钟,42分钟,9.8公里,130分钟
整租·绿地中央广场二期 3室2厅 南,5000,青秀区-青秀万达-绿地中央广场二期,3室2厅2卫,127.0,南,https://nn.zu.ke.com/zufang/NN1958559728694984704.html,7.7公里,30分钟,53分钟,6.2公里,82分钟
整租·金州琅园 1室0厅 东南,1500,青秀区-金湖-金州琅园,1室0厅1卫,60.0,东南,https://nn.zu.ke.com/zufang/NN1958758749376086016.html,5.8公里,27分钟,26分钟,5.7公里,76分钟
整租·万科金域蓝湾 3室2厅 南,1800,良庆区-五象湖-万科金域蓝湾,3室2厅2卫,89.0,南,https://nn.zu.ke.com/zufang/NN1958869226332618752.html,13.3公里,38分钟,51分钟,12.8公里,170分钟
整租·万昌南湖景园 3室2厅 南/北,3800,青秀区-金湖-万昌南湖景园,3室2厅2卫,115.0,,https://nn.zu.ke.com/zufang/NN1958795737869320192.html,5.5公里,24分钟,33分钟,5.1公里,68分钟
整租·五象航洋城 2室1厅 南,3280,良庆区-五象核心区-五象航洋城,2室1厅0卫,82.0,南,https://nn.zu.ke.com/zufang/NN1959830806360752128.html,10.8公里,40分钟,34分钟,9.2公里,123分钟
整租·雅典国际 1室1厅 复式 东,1100,青秀区-琅东-雅典国际,1室1厅1卫,40.0,东,https://nn.zu.ke.com/zufang/NN1959891832678645760.html,10.5公里,35分钟,31分钟,10.0公里,133分钟
整租·五洲国际 2室2厅 复式 东南,3800,青秀区-东盟商务区-五洲国际,2室2厅2卫,93.0,东南,https://nn.zu.ke.com/zufang/NN1960273281764294656.html,8.7公里,41分钟,33分钟,8.8公里,118分钟
整租·广西水产畜牧学校职工住宅楼 6室2厅 南,4600,青秀区-金湖-广西水产畜牧学校职工住宅楼,6室2厅2卫,189.0,南,https://nn.zu.ke.com/zufang/NN1959810656064503808.html,5.1公里,20分钟,41分钟,5.2公里,69分钟
整租·国信信托宿舍 3室1厅 东南,3500,青秀区-金湖-国信信托宿舍,3室1厅1卫,110.0,东南,https://nn.zu.ke.com/zufang/NN1959498261425291264.html,5.7公里,26分钟,24分钟,5.7公里,76分钟
整租·荣和·东盟国际 2室1厅 南,2800,青秀区-凤岭北-荣和 - 东盟国际,2室1厅1卫,72.0,南,https://nn.zu.ke.com/zufang/NN1959480686750466048.html,8.5公里,31分钟,24分钟,8.7公里,116分钟
整租·彰泰江景湾 3室2厅 南,1800,邕宁区-龙岗-彰泰江景湾,3室2厅2卫,96.0,南,https://nn.zu.ke.com/zufang/NN1960302732573147136.html,20.8公里,44分钟,92分钟,19.0公里,253分钟
整租·地王国际商会中心 4室1厅 东南,14500,青秀区-金湖-地王国际商会中心,4室1厅0卫,288.32,东南,https://nn.zu.ke.com/zufang/NN1960562830876868608.html,5.6公里,25分钟,22分钟,5.6公里,75分钟
合租·广源大都会二期 4居室 东南/南卧,700,良庆区-五象核心区-广源大都会二期,4室2厅2卫,16.0,,https://nn.zu.ke.com/zufang/NN1960648614036373504.html,12.0公里,40分钟,42分钟,10.6公里,141分钟
整租·万科金域滨江 4室2厅 南/北,3000,邕宁区-龙岗-万科金域滨江,4室2厅2卫,143.0,,https://nn.zu.ke.com/zufang/NN1960727219567329280.html,17.7公里,39分钟,86分钟,17.2公里,230分钟
整租·利海亚洲国际 1室1厅 东南/南,1500,青秀区-东盟商务区-利海亚洲国际,1室1厅1卫,38.0,,https://nn.zu.ke.com/zufang/NN1962099162023460864.html,8.7公里,43分钟,31分钟,8.6公里,114分钟
整租·金之岛城市广场住宅 1室1厅 南,800,兴宁区-朝阳-金之岛城市广场住宅,1室1厅1卫,42.0,南,https://nn.zu.ke.com/zufang/NN1962368867464380416.html,2.4公里,13分钟,17分钟,1.4公里,18分钟
整租·半岛融园小区 4室2厅 南/北,2300,青秀区-柳沙-半岛融园小区,4室2厅2卫,143.0,,https://nn.zu.ke.com/zufang/NN1962172348958244864.html,8.2公里,26分钟,50分钟,7.0公里,94分钟
整租·金旺角 1室0厅 南,700,青秀区-金湖-金旺角,1室0厅1卫,21.0,南,https://nn.zu.ke.com/zufang/NN1962830344021344256.html,5.8公里,27分钟,26分钟,5.7公里,76分钟
整租·彰泰城B区 1室0厅 南,1400,良庆区-五象核心区-彰泰城B区,1室0厅1卫,39.36,南,https://nn.zu.ke.com/zufang/NN1962720930094383104.html,11.0公里,40分钟,41分钟,10.6公里,141分钟
整租·青秀万达 1室1厅 东南,4000,青秀区-青秀万达-青秀万达,1室1厅1卫,110.0,东南,https://nn.zu.ke.com/zufang/NN1963096640709459968.html,21.3公里,48分钟,69分钟,20.0公里,266分钟
整租·利海亚洲国际B区 1室0厅 南,1200,青秀区-东盟商务区-利海亚洲国际B区,1室0厅1卫,31.0,南,https://nn.zu.ke.com/zufang/NN1962438687010586624.html,8.5公里,43分钟,32分钟,8.4公里,113分钟
整租·大唐盛世 6室2厅 南,5100,邕宁区-龙岗-大唐盛世,6室2厅2卫,287.0,南,https://nn.zu.ke.com/zufang/NN1963103361645412352.html,19.8公里,44分钟,83分钟,19.5公里,260分钟
整租·南湖御景 3室1厅 南,1800,青秀区-星湖-南湖御景,3室1厅1卫,90.0,南,https://nn.zu.ke.com/zufang/NN1963104131287613440.html,3.0公里,15分钟,31分钟,2.8公里,38分钟
整租·向南居·金溪园 1室1厅 东北,1300,青秀区-凤岭北-向南居 - 金溪园,1室1厅1卫,36.94,东北,https://nn.zu.ke.com/zufang/NN1964270920629485568.html,8.0公里,33分钟,41分钟,7.2公里,97分钟
整租·盛世龙腾 2室2厅 南,1600,西乡塘区-心圩区-盛世龙腾,2室2厅1卫,102.0,南,https://nn.zu.ke.com/zufang/NN1963976594984796160.html,8.5公里,31分钟,49分钟,7.7公里,103分钟
整租·保利领秀前城秀程府 4室2厅 东南,3500,青秀区-凤岭南-保利领秀前城秀程府,4室2厅2卫,128.0,东南,https://nn.zu.ke.com/zufang/NN1964285511459667968.html,13.0公里,44分钟,54分钟,12.8公里,171分钟
整租·龙域香醍半岛 4室2厅 南/北,1900,邕宁区-龙岗-龙域香醍半岛,4室2厅2卫,128.0,,https://nn.zu.ke.com/zufang/NN1963138269231185920.html,20.1公里,44分钟,82分钟,18.9公里,252分钟
整租·前海人寿金融中心 6室1厅 东北,23077,良庆区-五象核心区-前海人寿金融中心,6室1厅0卫,607.29,东北,https://nn.zu.ke.com/zufang/NN1963166942185390080.html,10.5公里,38分钟,37分钟,10.4公里,139分钟
整租·中房·翡翠湾 2室2厅 南,2500,青秀区-东盟商务区-中房 - 翡翠湾,2室2厅1卫,89.93,南,https://nn.zu.ke.com/zufang/NN1963909531297644544.html,9.6公里,37分钟,47分钟,9.2公里,123分钟
整租·恒大苹果园·金色阳光 4室1厅 东南,3500,青秀区-琅东-恒大苹果园 - 金色阳光,4室1厅2卫,185.0,东南,https://nn.zu.ke.com/zufang/NN1963830996230995968.html,8.2公里,33分钟,48分钟,7.5公里,100分钟
整租·中房·翡翠湾 1室2厅 南,2500,青秀区-东盟商务区-中房 - 翡翠湾,1室2厅0卫,86.86,南,https://nn.zu.ke.com/zufang/NN1963910613952364544.html,9.6公里,37分钟,47分钟,9.2公里,123分钟
整租·梦之岛花园 3室2厅 南/北,2500,青秀区-琅东-梦之岛花园,3室2厅2卫,120.0,,https://nn.zu.ke.com/zufang/NN1964326185970171904.html,12.1公里,36分钟,45分钟,11.2公里,150分钟
整租·檀府印象檀熙 4室2厅 南/北,2500,良庆区-五象湖-檀府印象檀熙,4室2厅2卫,118.0,,https://nn.zu.ke.com/zufang/NN1964932974906441728.html,15.4公里,42分钟,64分钟,14.7公里,196分钟
整租·世洋大厦 2室2厅 北,6800,青秀区-东盟商务区-世洋大厦,2室2厅0卫,315.42,北,https://nn.zu.ke.com/zufang/NN1965380039549648896.html,9.7公里,33分钟,30分钟,9.0公里,120分钟
整租·摩卡生活馆 1室1厅 东,1500,青秀区-星湖-摩卡生活馆,1室1厅1卫,40.0,东,https://nn.zu.ke.com/zufang/NN1965270473923100672.html,2.2公里,9分钟,16分钟,1.6公里,22分钟
整租·凯丰大厦 1室0厅 北,1000,青秀区-东葛路-凯丰大厦,1室0厅1卫,46.0,北,https://nn.zu.ke.com/zufang/NN1965407206266372096.html,2.6公里,13分钟,24分钟,2.2公里,30分钟
整租·利海亚洲国际 1室1厅 东南/南,1500,青秀区-东盟商务区-利海亚洲国际,1室1厅1卫,38.0,,https://nn.zu.ke.com/zufang/NN1962099162023460864.html,8.7公里,43分钟,31分钟,8.6公里,114分钟
整租·金之岛城市广场住宅 1室1厅 南,800,兴宁区-朝阳-金之岛城市广场住宅,1室1厅1卫,42.0,南,https://nn.zu.ke.com/zufang/NN1962368867464380416.html,2.4公里,13分钟,17分钟,1.4公里,18分钟
整租·金旺角 1室0厅 南,700,青秀区-金湖-金旺角,1室0厅1卫,21.0,南,https://nn.zu.ke.com/zufang/NN1962830344021344256.html,5.8公里,27分钟,26分钟,5.7公里,76分钟
整租·彰泰城B区 1室0厅 南,1400,良庆区-五象核心区-彰泰城B区,1室0厅1卫,39.36,南,https://nn.zu.ke.com/zufang/NN1962720930094383104.html,11.0公里,39分钟,41分钟,10.6公里,141分钟
整租·大唐盛世 6室2厅 南,5100,邕宁区-龙岗-大唐盛世,6室2厅2卫,287.0,南,https://nn.zu.ke.com/zufang/NN1963103361645412352.html,19.8公里,44分钟,83分钟,19.5公里,260分钟
整租·向南居·金溪园 1室1厅 东北,1300,青秀区-凤岭北-向南居 - 金溪园,1室1厅1卫,36.94,东北,https://nn.zu.ke.com/zufang/NN1964270920629485568.html,8.0公里,34分钟,41分钟,7.2公里,97分钟
整租·保利领秀前城秀程府 4室2厅 东南,3500,青秀区-凤岭南-保利领秀前城秀程府,4室2厅2卫,128.0,东南,https://nn.zu.ke.com/zufang/NN1964285511459667968.html,13.0公里,45分钟,54分钟,12.8公里,171分钟
整租·龙域香醍半岛 4室2厅 南/北,1900,邕宁区-龙岗-龙域香醍半岛,4室2厅2卫,128.0,,https://nn.zu.ke.com/zufang/NN1963138269231185920.html,20.1公里,44分钟,82分钟,18.9公里,252分钟
整租·前海人寿金融中心 10室2厅 东南,96884,良庆区-五象核心区-前海人寿金融中心,10室2厅1卫,2603.75,东南,https://nn.zu.ke.com/zufang/NN1963163977470967808.html,10.5公里,38分钟,37分钟,10.4公里,139分钟
整租·中房·翡翠湾 1室2厅 南,2500,青秀区-东盟商务区-中房 - 翡翠湾,1室2厅0卫,86.86,南,https://nn.zu.ke.com/zufang/NN1963910613952364544.html,9.6公里,38分钟,47分钟,9.2公里,123分钟
整租·檀府印象檀熙 4室2厅 南/北,2500,良庆区-五象湖-檀府印象檀熙,4室2厅2卫,118.0,,https://nn.zu.ke.com/zufang/NN1964932974906441728.html,15.4公里,42分钟,64分钟,14.7公里,196分钟
整租·世洋大厦 2室2厅 北,6800,青秀区-东盟商务区-世洋大厦,2室2厅0卫,315.42,北,https://nn.zu.ke.com/zufang/NN1965380039549648896.html,9.7公里,33分钟,30分钟,9.0公里,120分钟
整租·凯丰大厦 1室0厅 北,1000,青秀区-东葛路-凯丰大厦,1室0厅1卫,46.0,北,https://nn.zu.ke.com/zufang/NN1965407206266372096.html,2.6公里,13分钟,24分钟,2.2公里,30分钟
整租·绿城画卷 1室0厅 东南,1800,青秀区-金湖-绿城画卷,1室0厅1卫,45.0,东南,https://nn.zu.ke.com/zufang/NN1965763261781508096.html,5.0公里,23分钟,23分钟,4.9公里,65分钟
整租·悦桂绿地新世界 3室2厅 南,500,江南区-经开区-悦桂绿地新世界,3室2厅2卫,97.05,南,https://nn.zu.ke.com/zufang/NN1965720746743300096.html,34.2公里,57分钟,97分钟,32.2公里,429分钟
整租·金玖世家北区 4室2厅 南/北,2200,良庆区-玉洞-金玖世家北区,4室2厅2卫,117.0,,https://nn.zu.ke.com/zufang/NN1965629910940647424.html,13.1公里,38分钟,28分钟,12.3公里,164分钟
整租·阳光100 2室1厅 南,2300,青秀区-东葛路-阳光100,2室1厅1卫,100.0,南,https://nn.zu.ke.com/zufang/NN1966070774942924800.html,5.9公里,23分钟,38分钟,4.0公里,53分钟
整租·金和大厦 2室1厅 东南,6750,青秀区-星湖-金和大厦,2室1厅0卫,135.0,东南,https://nn.zu.ke.com/zufang/NN1966090130951241728.html,4.0公里,20分钟,21分钟,3.8公里,50分钟
整租·旺南花园小区 4室2厅 南,3000,青秀区-青秀万达-旺南花园小区,4室2厅2卫,136.0,南,https://nn.zu.ke.com/zufang/NN1966014094498594816.html,6.2公里,29分钟,25分钟,6.1公里,81分钟
整租·金和大厦 1室0厅 南,4908,青秀区-星湖-金和大厦,1室0厅0卫,89.24,南,https://nn.zu.ke.com/zufang/NN1965993102942404608.html,4.0公里,20分钟,21分钟,3.8公里,50分钟
整租·荣和悦澜山 4室1厅 南/北,2600,青秀区-凤岭北-荣和悦澜山,4室1厅2卫,109.0,,https://nn.zu.ke.com/zufang/NN1966516133209047040.html,11.8公里,33分钟,37分钟,7.1公里,95分钟
整租·阳光100上东国际 1室0厅 东,1500,青秀区-琅东-阳光100上东国际,1室0厅1卫,55.0,东,https://nn.zu.ke.com/zufang/NN1966469884510470144.html,9.9公里,32分钟,29分钟,9.4公里,126分钟
整租·山水花都秀竹花园 3室3厅 西南,2700,青秀区-金湖-山水花都秀竹花园,3室3厅2卫,153.0,西南,https://nn.zu.ke.com/zufang/NN1967523088463560704.html,6.1公里,23分钟,30分钟,6.0公里,81分钟
整租·银海华廷 3室2厅 南,1500,良庆区-玉洞-银海华廷,3室2厅1卫,100.0,南,https://nn.zu.ke.com/zufang/NN1974699516384772096.html,11.2公里,37分钟,28分钟,10.9公里,146分钟
整租·东方花园 3室2厅 东南,2400,青秀区-金湖-东方花园,3室2厅1卫,110.0,东南,https://nn.zu.ke.com/zufang/NN1974709581284114432.html,5.3公里,23分钟,23分钟,5.4公里,71分钟
整租·龙光世纪中心 1室1厅 南,6800,青秀区-东盟商务区-龙光世纪中心,1室1厅0卫,73.0,南,https://nn.zu.ke.com/zufang/NN1974692796212183040.html,8.7公里,40分钟,27分钟,8.7公里,116分钟
整租·枫林蓝岸 5室2厅 复式 南,16000,青秀区-凤岭北-枫林蓝岸,5室2厅2卫,236.0,南,https://nn.zu.ke.com/zufang/NN1974789386868359168.html,9.9公里,33分钟,36分钟,10.2公里,136分钟
整租·福满瑞园 4室2厅 复式 南,3500,江南区-经开区-福满瑞园,4室2厅2卫,249.91,南,https://nn.zu.ke.com/zufang/NN1974783046397722624.html,8.7公里,26分钟,48分钟,7.9公里,105分钟
整租·台湾街宜兰湾 1室1厅 东南,1500,西乡塘区-西大-台湾街宜兰湾,1室1厅1卫,70.0,东南,https://nn.zu.ke.com/zufang/NN1975030964606205952.html,4.1公里,16分钟,35分钟,3.8公里,51分钟
整租·启迪亮 4室2厅 南/北,2000,邕宁区-龙岗-启迪亮,4室2厅2卫,136.0,,https://nn.zu.ke.com/zufang/NN1975452912683319296.html,18.3公里,46分钟,65分钟,18.1公里,241分钟
整租·金玖世家北区 4室2厅 北,2300,良庆区-玉洞-金玖世家北区,4室2厅2卫,115.0,北,https://nn.zu.ke.com/zufang/NN1975502725646909440.html,13.1公里,38分钟,28分钟,12.3公里,164分钟
整租·绿城春江明月 4室2厅 东南,3800,良庆区-五象核心区-绿城春江明月,4室2厅2卫,145.0,东南,https://nn.zu.ke.com/zufang/NN1976216526964916224.html,13.2公里,42分钟,52分钟,12.2公里,163分钟
整租·圣展独立公社 1室1厅 西/西北,17100,青秀区-金湖-圣展独立公社,1室1厅1卫,285.0,,https://nn.zu.ke.com/zufang/NN1976201126457901056.html,5.7公里,26分钟,24分钟,5.7公里,76分钟
整租·荣和山水绿城B1组团 2室2厅 南,1400,兴宁区-北湖南-荣和山水绿城B1组团,2室2厅1卫,65.0,南,https://nn.zu.ke.com/zufang/NN1976193814636789760.html,5.8公里,25分钟,36分钟,5.2公里,70分钟
整租·幸福里 4室2厅 南,28000,青秀区-东盟商务区-幸福里,4室2厅4卫,328.0,南,https://nn.zu.ke.com/zufang/NN1975906478216708096.html,8.3公里,37分钟,29分钟,8.2公里,110分钟
整租·中鼎万象东方 1室1厅 北,2000,青秀区-凤岭北-中鼎万象东方,1室1厅1卫,46.0,北,https://nn.zu.ke.com/zufang/NN1976552271915253760.html,7.8公里,32分钟,22分钟,8.0公里,107分钟
整租·万科公园里 4室2厅 东/南,2300,良庆区-五象文旅-万科公园里,4室2厅2卫,125.0,,https://nn.zu.ke.com/zufang/NN1976619271140147200.html,16.3公里,45分钟,64分钟,14.7公里,196分钟
整租·广源大都会 3室2厅 南/北,3000,良庆区-五象核心区-广源大都会,3室2厅2卫,108.0,,https://nn.zu.ke.com/zufang/NN1976947970121138176.html,11.2公里,39分钟,47分钟,10.7公里,142分钟
整租·盛湖悦景 4室2厅 南/北,2000,邕宁区-龙岗-盛湖悦景,4室2厅2卫,128.0,,https://nn.zu.ke.com/zufang/NN1976904327951810560.html,19.3公里,43分钟,74分钟,19.3公里,258分钟
整租·万科金域中央一期 5室2厅 南,4000,良庆区-玉洞-万科金域中央一期,5室2厅2卫,144.0,南,https://nn.zu.ke.com/zufang/NN1976950306398797824.html,11.2公里,38分钟,45分钟,10.7公里,143分钟
整租·彰泰城B区 1室1厅 南,1500,良庆区-五象核心区-彰泰城B区,1室1厅1卫,39.0,南,https://nn.zu.ke.com/zufang/NN1976953626697924608.html,11.0公里,40分钟,41分钟,10.6公里,141分钟
整租·南湖聚宝苑 5室2厅 东南,13600,青秀区-金湖-南湖聚宝苑,5室2厅2卫,270.0,东南,https://nn.zu.ke.com/zufang/NN1977361081516949504.html,5.1公里,23分钟,19分钟,5.2公里,69分钟
整租·东葛路18-1汇宇花园 5室2厅 东南,3200,青秀区-东葛路-东葛路18-1汇宇花园,5室2厅2卫,120.0,东南,https://nn.zu.ke.com/zufang/NN1977298878340268032.html,2.5公里,10分钟,20分钟,1.6公里,21分钟
整租·伟业小区 3室2厅 南,2000,青秀区-东葛路-伟业小区,3室2厅2卫,120.0,南,https://nn.zu.ke.com/zufang/NN1977214688982728704.html,5.6公里,22分钟,39分钟,4.2公里,56分钟
整租·凤岭·新新家园A区 4室2厅 南,2700,青秀区-凤岭北-凤岭 - 新新家园A区,4室2厅2卫,119.0,南,https://nn.zu.ke.com/zufang/NN1977686148851433472.html,9.8公里,32分钟,34分钟,9.6公里,128分钟
整租·中房翡翠园一期 3室2厅 北,2300,青秀区-琅东-中房翡翠园一期,3室2厅2卫,145.0,北,https://nn.zu.ke.com/zufang/NN2038190786884927488.html,10.5公里,34分钟,35分钟,10.4公里,138分钟
整租·龙光玖誉城悦城 1室1厅 北,2000,江南区-经开区-龙光玖誉城悦城,1室1厅1卫,28.0,北,https://nn.zu.ke.com/zufang/NN1964363903219531776.html,6.2公里,23分钟,26分钟,6.2公里,82分钟
整租·耀凯凤岭1号 1室1厅 东南,15000,青秀区-东盟商务区-耀凯凤岭1号,1室1厅1卫,67.0,东南,https://nn.zu.ke.com/zufang/NN2038148638416306176.html,11.0公里,40分钟,36分钟,8.8公里,118分钟
整租·宏桂东昇 2室2厅 东南,1500,青秀区-仙葫-宏桂东昇,2室2厅1卫,85.0,东南,https://nn.zu.ke.com/zufang/NN1965008414266359808.html,13.1公里,42分钟,65分钟,13.7公里,182分钟
整租·平安家园 3室2厅 南/北,2300,青秀区-凤岭北-平安家园,3室2厅2卫,110.0,,https://nn.zu.ke.com/zufang/NN1976179500441927680.html,7.5公里,30分钟,31分钟,7.6公里,102分钟
整租·盛邦珑湖 1室0厅 南,2800,良庆区-玉洞-盛邦珑湖,1室0厅0卫,75.0,南,https://nn.zu.ke.com/zufang/NN2039656244855177216.html,12.7公里,37分钟,63分钟,12.0公里,160分钟
整租·宏桂东昇 2室2厅 南,1500,青秀区-仙葫-宏桂东昇,2室2厅1卫,89.0,南,https://nn.zu.ke.com/zufang/NN1976942195365642240.html,13.1公里,42分钟,65分钟,13.7公里,182分钟
整租·金河中心 4室2厅 南,2350,兴宁区-东沟岭-金河中心,4室2厅3卫,100.0,南,https://nn.zu.ke.com/zufang/NN2040070824798453760.html,14.3公里,34分钟,48分钟,8.6公里,115分钟
整租·大唐盛世 3室2厅 北,1200,邕宁区-龙岗-大唐盛世,3室2厅1卫,93.0,北,https://nn.zu.ke.com/zufang/NN1977204388002791424.html,19.8公里,44分钟,83分钟,19.5公里,260分钟
整租·幸福里 5室3厅 南,25000,青秀区-东盟商务区-幸福里,5室3厅2卫,387.0,南,https://nn.zu.ke.com/zufang/NN2039729893347950592.html,8.3公里,37分钟,29分钟,8.2公里,110分钟
整租·凤岭山语城 1室1厅 西北,12000,青秀区-凤岭北-凤岭山语城,地下室,180.0,西北,https://nn.zu.ke.com/zufang/NN2041013927566901248.html,11.5公里,37分钟,45分钟,11.1公里,148分钟
整租·五象世茂中心 1室1厅 南,1100,良庆区-五象核心区-五象世茂中心,1室1厅1卫,40.0,南,https://nn.zu.ke.com/zufang/NN1977665221585534976.html,13.2公里,42分钟,52分钟,12.2公里,163分钟
整租·阳光100上东国际 3室2厅 西,2000,青秀区-琅东-阳光100上东国际,3室2厅1卫,87.66,西,https://nn.zu.ke.com/zufang/NN2041030343506526208.html,9.9公里,32分钟,29分钟,9.4公里,126分钟
整租·利海亚洲国际B区 4室2厅 东,7200,青秀区-东盟商务区-利海亚洲国际B区,4室2厅0卫,60.0,东,https://nn.zu.ke.com/zufang/NN1977976535532961792.html,8.5公里,43分钟,32分钟,8.4公里,113分钟
整租·瀚林学府二期 2室2厅 南,8000,西乡塘区-西大-瀚林学府二期,2室2厅1卫,110.0,南,https://nn.zu.ke.com/zufang/NN2041039608040390656.html,5.3公里,22分钟,19分钟,4.9公里,65分钟
整租·汇春名庭东区 4室2厅 东南,4000,青秀区-金湖-汇春名庭东区,4室2厅2卫,215.0,东南,https://nn.zu.ke.com/zufang/NN1977214702031208448.html,5.6公里,26分钟,26分钟,5.7公里,75分钟
整租·古城馨园 2室1厅 南,2500,青秀区-星湖-古城馨园,2室1厅1卫,80.0,南,https://nn.zu.ke.com/zufang/NN1977672786461589504.html,2.4公里,10分钟,19分钟,2.6公里,34分钟
整租·万科魅力之城 4室1厅 南,2200,良庆区-五象湖-万科魅力之城,4室1厅2卫,92.0,南,https://nn.zu.ke.com/zufang/NN1978032117807841280.html,15.6公里,44分钟,57分钟,15.4公里,206分钟
整租·中房翡翠园一期 2室2厅 南/北,2000,青秀区-琅东-中房翡翠园一期,2室2厅1卫,88.0,,https://nn.zu.ke.com/zufang/NN2001968186370555904.html,10.5公里,34分钟,35分钟,10.4公里,138分钟
整租·湖江公寓 5室2厅 南/北,3500,青秀区-星湖-湖江公寓,5室2厅2卫,192.0,,https://nn.zu.ke.com/zufang/NN2001948399187787776.html,5.5公里,20分钟,38分钟,3.3公里,44分钟
整租·印象·愉景湾 4室2厅 东南,1500,良庆区-五象湖-印象 - 愉景湾,4室2厅2卫,109.19,东南,https://nn.zu.ke.com/zufang/NN2001951772133818368.html,20.9公里,47分钟,79分钟,19.6公里,261分钟
