标题,价格(元/月),区域,户型,面积(㎡),朝向,详情链接
整租·联发·尚品 3室2厅 南,1500,青秀区-仙葫-联发 - 尚品,3室2厅1卫,98.00,南,https://nn.zu.ke.com/zufang/NN2048417946761428992.html
整租·龙光·君御华府 2室1厅 南,3500,青秀区-凤岭北-龙光 - 君御华府,2室1厅1卫,42.00,南,https://nn.zu.ke.com/zufang/NN2049358450688786432.html
整租·港保苑 2室2厅 西,1800,良庆区-五象核心区-港保苑,2室2厅1卫,91.00,西,https://nn.zu.ke.com/zufang/NN2046231629654917120.html
整租·金科博翠山 3室2厅 南,2000,良庆区-玉洞-金科博翠山,3室2厅2卫,98.65,南,https://nn.zu.ke.com/zufang/NN1930217976896684032.html
整租·大唐盛世观湖 4室2厅 南,1700,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,112.00,南,https://nn.zu.ke.com/zufang/NN1897554114313715712.html
整租·华润二十四城 3室2厅 南,1900,良庆区-五象湖-华润二十四城,3室2厅2卫,93.00,南,https://nn.zu.ke.com/zufang/NN2045492100199350272.html
整租·华龙苑小区 3室2厅 南,2500,青秀区-青秀万达-华龙苑小区,3室2厅2卫,120.00,南,https://nn.zu.ke.com/zufang/NN1932644620349472768.html
整租·荣和大地二组团 6室0厅 东南,2400,青秀区-凤岭北-荣和大地二组团,6室0厅2卫,88.00,东南,https://nn.zu.ke.com/zufang/NN2002299990029893632.html
整租·华龙苑小区 3室2厅 南,2500,青秀区-青秀万达-华龙苑小区,3室2厅2卫,120.00,南,https://nn.zu.ke.com/zufang/NN1932644620349472768.html
整租·金科博翠山 3室2厅 南,1700,良庆区-玉洞-金科博翠山,3室2厅2卫,98.65,南,https://nn.zu.ke.com/zufang/NN1988151077739954176.html
整租·中房翡翠园二期 3室2厅 南,2500,青秀区-琅东-中房翡翠园二期,3室2厅2卫,100.00,南,https://nn.zu.ke.com/zufang/NN2052983843085877248.html
整租·虹桥新城 1室1厅 南,1100,兴宁区-兴宁东-虹桥新城,1室1厅1卫,43.00,南,https://nn.zu.ke.com/zufang/NN2056666691865149440.html
整租·印象·愉景湾 4室2厅 南,1500,良庆区-五象湖-印象 - 愉景湾,4室2厅2卫,109.69,南,https://nn.zu.ke.com/zufang/NN2035558161670209536.html
整租·威宁青运村 3室2厅 东南,2400,良庆区-五象核心区-威宁青运村,3室2厅2卫,103.00,东南,https://nn.zu.ke.com/zufang/NN2054081078318071808.html
整租·保利·童心缘 1室1厅 南,2000,青秀区-凤岭北-保利 - 童心缘,1室1厅1卫,50.95,南,https://nn.zu.ke.com/zufang/NN1955866759810514944.html
整租·星湖路北二里8号小区 4室2厅 南/北,3500,青秀区-星湖-星湖路北二里8号小区,4室2厅2卫,135.00,N/A,https://nn.zu.ke.com/zufang/NN1980146080204980224.html
整租·恒大绿洲3期 2室2厅 南,1600,良庆区-大沙田-恒大绿洲3期,2室2厅1卫,82.40,南,https://nn.zu.ke.com/zufang/NN2059941919760318464.html
整租·建发五象印月 4室2厅 南/北,3500,良庆区-五象湖-建发五象印月,4室2厅2卫,133.00,N/A,https://nn.zu.ke.com/zufang/NN1933493870037827584.html
整租·城市碧园 4室2厅 东南,2500,西乡塘区-西大-城市碧园,4室2厅2卫,124.00,东南,https://nn.zu.ke.com/zufang/NN2052328297894772736.html
整租·云星钱隆首府E地块 3室2厅 南,3000,良庆区-五象核心区-云星钱隆首府E地块,3室2厅2卫,115.00,南,https://nn.zu.ke.com/zufang/NN1979162645588082688.html
整租·万科星都荟三期 4室2厅 南/北,1300,良庆区-五象湖-万科星都荟三期,4室2厅2卫,120.00,N/A,https://nn.zu.ke.com/zufang/NN1979816278168174592.html
整租·保利明玥江山 3室2厅 南,1700,良庆区-五象文旅-保利明玥江山,3室2厅2卫,97.60,南,https://nn.zu.ke.com/zufang/NN2026346193742725120.html
整租·融创九棠府二期 4室2厅 南,1800,良庆区-五象湖-融创九棠府二期,4室2厅2卫,132.00,南,https://nn.zu.ke.com/zufang/NN1582947961820676096.html
整租·荣和·千千树 3室1厅 南/北,2600,青秀区-凤岭北-荣和 - 千千树,3室1厅2卫,88.00,N/A,https://nn.zu.ke.com/zufang/NN2020845710315880448.html
整租·宝能五象湖一号 3室2厅 南,1700,良庆区-五象湖-宝能五象湖一号,3室2厅2卫,84.00,南,https://nn.zu.ke.com/zufang/NN2051600155848736768.html
整租·融创九棠府二期 4室2厅 南,1800,良庆区-五象湖-融创九棠府二期,4室2厅2卫,132.00,南,https://nn.zu.ke.com/zufang/NN1582947961820676096.html
整租·云星钱隆首府E地块 3室2厅 南,3000,良庆区-五象核心区-云星钱隆首府E地块,3室2厅2卫,115.00,南,https://nn.zu.ke.com/zufang/NN1979162645588082688.html
整租·万科星都荟三期 4室2厅 南/北,1300,良庆区-五象湖-万科星都荟三期,4室2厅2卫,120.00,N/A,https://nn.zu.ke.com/zufang/NN1979816278168174592.html
整租·阳光100上东国际 1室0厅 南,1900,青秀区-琅东-阳光100上东国际,1室0厅0卫,69.00,南,https://nn.zu.ke.com/zufang/NN2021089339257126912.html
整租·保利明玥江山 3室2厅 南,1700,良庆区-五象文旅-保利明玥江山,3室2厅2卫,97.60,南,https://nn.zu.ke.com/zufang/NN2026346193742725120.html
整租·柏涛湾小区 3室2厅 复式 南,1600,西乡塘区-北湖南-柏涛湾小区,3室2厅1卫,120.00,南,https://nn.zu.ke.com/zufang/NN2022913617472520192.html
整租·驰程天拓 2室1厅 西,1300,西乡塘区-石埠-驰程天拓,2室1厅1卫,64.00,西,https://nn.zu.ke.com/zufang/NN2053777662584815616.html
整租·空军集资楼小区 4室2厅 南/北,2200,青秀区-星湖-空军集资楼小区,4室2厅2卫,120.00,N/A,https://nn.zu.ke.com/zufang/NN1803646253649625088.html
整租·云星时代广场 1室1厅 东南,1900,良庆区-五象核心区-云星时代广场,1室1厅1卫,40.00,东南,https://nn.zu.ke.com/zufang/NN2032418927987916800.html
整租·中房翡翠园二期 3室2厅 南,2700,青秀区-琅东-中房翡翠园二期,3室2厅2卫,129.00,南,https://nn.zu.ke.com/zufang/NN2055200104553381888.html
整租·金科博翠山 3室2厅 南/北,1800,良庆区-玉洞-金科博翠山,3室2厅2卫,100.00,N/A,https://nn.zu.ke.com/zufang/NN1955288758769156096.html
整租·合景天汇广场 4室2厅 南/北,1800,良庆区-五象湖-合景天汇广场,4室2厅2卫,113.00,N/A,https://nn.zu.ke.com/zufang/NN1964978114635235328.html
整租·金都新巢时代 1室1厅 南,1300,西乡塘区-朝阳-金都新巢时代,1室1厅1卫,50.00,南,https://nn.zu.ke.com/zufang/NN2045806445080870912.html
整租·平安家园 3室2厅 南/北,2300,青秀区-凤岭北-平安家园,3室2厅2卫,107.00,N/A,https://nn.zu.ke.com/zufang/NN2014595757130121216.html
整租·中铁江湾山语城 4室2厅 南,1500,邕宁区-龙岗-中铁江湾山语城,4室2厅2卫,90.00,南,https://nn.zu.ke.com/zufang/NN2023688325520424960.html
整租·保利领秀前城领秀府 4室2厅 南,2500,青秀区-凤岭南-保利领秀前城领秀府,4室2厅2卫,92.00,南,https://nn.zu.ke.com/zufang/NN2022685900323946496.html
整租·云星城 1室1厅 南,2000,青秀区-星湖-云星城,1室1厅1卫,43.43,南,https://nn.zu.ke.com/zufang/NN2043978922890100736.html
整租·华银阁 2室1厅 南,3500,青秀区-东葛路-华银阁,2室1厅1卫,133.00,南,https://nn.zu.ke.com/zufang/NN1604434017053048832.html
整租·嘉和自由空间 1室0厅 南,1400,青秀区-东葛路-嘉和自由空间,1室0厅1卫,48.00,南,https://nn.zu.ke.com/zufang/NN1615927041109000192.html
整租·广西民族宫 2室1厅 东,6800,青秀区-东葛路-广西民族宫,2室1厅0卫,168.70,东,https://nn.zu.ke.com/zufang/NN1610159254721789952.html
整租·亚航财富中心 1室1厅 北,3200,青秀区-金湖-亚航财富中心,1室1厅1卫,67.42,北,https://nn.zu.ke.com/zufang/NN1596382455080681472.html
整租·印象·愉景湾 3室2厅 南,800,良庆区-五象湖-印象 - 愉景湾,3室2厅1卫,85.00,南,https://nn.zu.ke.com/zufang/NN1592892476077637632.html
整租·亚航财富中心 1室1厅 北,2900,青秀区-金湖-亚航财富中心,1室1厅1卫,58.81,北,https://nn.zu.ke.com/zufang/NN1596381119782060032.html
整租·农行宿舍 3室2厅 南,2000,青秀区-星湖-农行宿舍,3室2厅1卫,120.00,南,https://nn.zu.ke.com/zufang/NN2868662225323687936.html
整租·利海亚洲国际 1室1厅 南,1800,青秀区-东盟商务区-利海亚洲国际,1室1厅1卫,54.00,南,https://nn.zu.ke.com/zufang/NN1570273900338610176.html
整租·大唐盛世观湖 4室2厅 南/北,1500,邕宁区-龙岗-大唐盛世观湖,4室2厅2卫,117.00,N/A,https://nn.zu.ke.com/zufang/NN1569271924968652800.html
整租·广西民族宫 1室1厅 东南,1800,青秀区-东葛路-广西民族宫,1室1厅0卫,45.00,东南,https://nn.zu.ke.com/zufang/NN2873997451927764992.html
整租·融创九棠府二期 4室2厅 南,2000,良庆区-五象湖-融创九棠府二期,4室2厅2卫,131.00,南,https://nn.zu.ke.com/zufang/NN2900020447724969984.html
整租·广西路桥总公司一分公司五一路生活区 3室1厅 南,1100,江南区-五一路-广西路桥总公司一分公司五一路生活区,3室1厅1卫,75.00,南,https://nn.zu.ke.com/zufang/NN2891370395552710656.html
整租·中铁交通天地明珠 4室2厅 南,2300,邕宁区-龙岗-中铁交通天地明珠,4室2厅2卫,144.00,南,https://nn.zu.ke.com/zufang/NN2618631424072761344.html
整租·荣和山水美地4组团微笑湾 3室2厅 南/北,2400,青秀区-凤岭北-荣和山水美地4组团微笑湾,3室2厅2卫,127.00,N/A,https://nn.zu.ke.com/zufang/NN2644699932195561472.html
整租·星湖路南一里14 3室2厅 南/北,1800,青秀区-星湖-星湖路南一里14,3室2厅1卫,77.00,N/A,https://nn.zu.ke.com/zufang/NN2695693025601912832.html
整租·盛邦珑湖 6室2厅 南,2500,良庆区-玉洞-盛邦珑湖,6室2厅2卫,180.00,南,https://nn.zu.ke.com/zufang/NN2705133084160311296.html
整租·万达茂·御江国际 3室2厅 南,2800,邕宁区-五象文旅-万达茂 - 御江国际,3室2厅2卫,120.00,南,https://nn.zu.ke.com/zufang/NN2696902522223722496.html
整租·长湖景苑 5室2厅 东南/南,4000,青秀区-青秀万达-长湖景苑,5室2厅2卫,178.00,N/A,https://nn.zu.ke.com/zufang/NN2818944284454567936.html
整租·中房翡翠园二期 4室2厅 南,7800,青秀区-琅东-中房翡翠园二期,4室2厅2卫,128.00,南,https://nn.zu.ke.com/zufang/NN2823916088197120000.html
整租·凯丰大厦 1室0厅 东,1300,青秀区-东葛路-凯丰大厦,1室0厅1卫,45.00,东,https://nn.zu.ke.com/zufang/NN2778277091232727040.html
整租·香格里拉花园 5室2厅 东南,5200,青秀区-凤岭北-香格里拉花园,5室2厅3卫,234.00,东南,https://nn.zu.ke.com/zufang/NN2767203103861653504.html
整租·外滩新城 5室2厅 南/北,13000,青秀区-星湖-外滩新城,5室2厅3卫,500.00,N/A,https://nn.zu.ke.com/zufang/NN2839938722424954880.html
整租·融创九棠府一期 4室2厅 东南,2000,良庆区-五象湖-融创九棠府一期,4室2厅2卫,125.00,东南,https://nn.zu.ke.com/zufang/NN1667513442883338240.html
整租·汇金苑 2室1厅 东南,2500,青秀区-金湖-汇金苑,2室1厅1卫,95.00,东南,https://nn.zu.ke.com/zufang/NN1669634666027548672.html
合租·江悦蓝湾 4居室 东南卧,800,良庆区-五象核心区-江悦蓝湾,4室2厅2卫,28.00,东南,https://nn.zu.ke.com/zufang/NN1665997687725490176.html
整租·天誉城 3室2厅 南,1800,良庆区-五象文旅-天誉城,3室2厅2卫,60.00,南,https://nn.zu.ke.com/zufang/NN2060275570591137792.html
整租·阳光绿城第六组团 3室2厅 东/南,1700,兴宁区-东沟岭-阳光绿城第六组团,3室2厅1卫,85.00,N/A,https://nn.zu.ke.com/zufang/NN2060364873178546176.html
整租·中海半山壹号 5室2厅 南,3900,青秀区-仙葫-中海半山壹号,5室2厅3卫,213.00,南,https://nn.zu.ke.com/zufang/NN2046100616408727552.html
整租·盘龙居小区 4室2厅 东南,2500,青秀区-凤岭北-盘龙居小区,4室2厅2卫,143.00,东南,https://nn.zu.ke.com/zufang/NN2051314888982134784.html
整租·东长小区 4室2厅 南/北,2600,青秀区-东葛路-东长小区,4室2厅2卫,150.00,N/A,https://nn.zu.ke.com/zufang/NN1917421422951530496.html
整租·水泥厂宿舍 3室2厅 南/北,2500,青秀区-青秀万达-水泥厂宿舍,3室2厅2卫,113.00,N/A,https://nn.zu.ke.com/zufang/NN1963496740661231616.html
整租·水泥厂宿舍 4室2厅 南/北,2500,青秀区-青秀万达-水泥厂宿舍,4室2厅2卫,110.00,N/A,https://nn.zu.ke.com/zufang/NN1999688661016248320.html
整租·金科博翠山 3室1厅 南,1500,良庆区-玉洞-金科博翠山,3室1厅2卫,97.00,南,https://nn.zu.ke.com/zufang/NN2060604177838505984.html
整租·南宁中华路高层职工住宅综合楼 3室2厅 东南,2300,兴宁区-西大-南宁中华路高层职工住宅综合楼,3室2厅2卫,124.00,东南,https://nn.zu.ke.com/zufang/NN2033765833582313472.html
整租·金源CBD现代城 7室3厅 南,22000,青秀区-金湖-金源CBD现代城,7室3厅3卫,509.00,南,https://nn.zu.ke.com/zufang/NN2045707074456780800.html
整租·金科博翠山 4室2厅 南,1600,良庆区-玉洞-金科博翠山,4室2厅2卫,128.00,南,https://nn.zu.ke.com/zufang/NN1976099551894831104.html
整租·天誉花园7组团 2室1厅 南,1100,良庆区-五象文旅-天誉花园7组团,2室1厅1卫,60.00,南,https://nn.zu.ke.com/zufang/NN2060045332909129728.html
整租·颐华居 3室2厅 北,1800,西乡塘区-心圩区-颐华居,3室2厅1卫,89.00,北,https://nn.zu.ke.com/zufang/NN2059194811574910976.html
整租·万科珈蓝 4室2厅 南,1800,良庆区-五象湖-万科珈蓝,4室2厅2卫,143.00,南,https://nn.zu.ke.com/zufang/NN2054517119306956800.html
整租·彰泰郡 3室2厅 南,1200,良庆区-五象湖-彰泰郡,3室2厅2卫,86.00,南,https://nn.zu.ke.com/zufang/NN2041182506220257280.html
整租·锦麟玖玺 3室2厅 南,1500,良庆区-五象湖-锦麟玖玺,3室2厅2卫,112.00,南,https://nn.zu.ke.com/zufang/NN2006683851417452544.html
整租·江悦蓝湾 1室1厅 东南/南,1200,良庆区-五象核心区-江悦蓝湾,1室1厅1卫,69.00,N/A,https://nn.zu.ke.com/zufang/NN2059926062237745152.html
整租·时代茗城 4室2厅 南,2500,兴宁区-东沟岭-时代茗城,4室2厅2卫,128.00,南,https://nn.zu.ke.com/zufang/NN2036341981394763776.html
整租·广西警察学院教职工宿舍 3室1厅 南,1500,青秀区-东葛路-广西警察学院教职工宿舍,3室1厅1卫,70.00,南,https://nn.zu.ke.com/zufang/NN2052647828634730496.html
整租·畅春湖山庄 3室2厅 南,1500,兴宁区-东沟岭-畅春湖山庄,3室2厅2卫,115.00,南,https://nn.zu.ke.com/zufang/NN2053680538077626368.html
整租·中天世纪花园 2室1厅 南,2200,青秀区-东葛路-中天世纪花园,2室1厅1卫,86.00,南,https://nn.zu.ke.com/zufang/NN2050170738605817856.html
整租·彰泰滨江学府 4室2厅 南/北,3000,良庆区-五象核心区-彰泰滨江学府,4室2厅2卫,142.00,N/A,https://nn.zu.ke.com/zufang/NN2039656722406047744.html
整租·云星尚雅名都 3室2厅 南,1600,江南区-经开区-云星尚雅名都,3室2厅2卫,93.00,南,https://nn.zu.ke.com/zufang/NN2053134243491479552.html
整租·同人·西湖东郡 3室1厅 东,1600,西乡塘区-心圩区-同人 - 西湖东郡,3室1厅1卫,86.00,东,https://nn.zu.ke.com/zufang/NN2059271932993339392.html
整租·畅春湖山庄 3室2厅 南,1500,兴宁区-东沟岭-畅春湖山庄,3室2厅2卫,100.00,南,https://nn.zu.ke.com/zufang/NN2045357877522071552.html
整租·万科金域蓝湾 4室2厅 南,2100,良庆区-五象湖-万科金域蓝湾,4室2厅2卫,108.00,南,https://nn.zu.ke.com/zufang/NN2011726574189019136.html
整租·恒大雅苑 3室3厅 东南,1500,兴宁区-凤岭北-恒大雅苑,3室3厅2卫,110.00,东南,https://nn.zu.ke.com/zufang/NN2053826688525008896.html
整租·梦之岛花园 4室2厅 南,2500,青秀区-琅东-梦之岛花园,4室2厅2卫,135.00,南,https://nn.zu.ke.com/zufang/NN2043935331891281920.html
整租·龙光玖誉湖林湖 3室2厅 南,1400,良庆区-五象文旅-龙光玖誉湖林湖,3室2厅2卫,90.00,南,https://nn.zu.ke.com/zufang/NN2054813530300874752.html
整租·新城悦隽风华 3室2厅 南,1500,邕宁区-龙岗-新城悦隽风华,3室2厅2卫,100.00,南,https://nn.zu.ke.com/zufang/NN2035763563779325952.html
整租·桃源湖居 2室1厅 东,700,青秀区-星湖-桃源湖居,2室1厅1卫,90.00,东,https://nn.zu.ke.com/zufang/NN2006281972942372864.html
整租·万达茂天樾 1室1厅 东南,800,邕宁区-五象文旅-万达茂天樾,1室1厅1卫,50.00,东南,https://nn.zu.ke.com/zufang/NN2057732357309333504.html
整租·植物路区信托宿舍 2室1厅 南,900,青秀区-星湖-植物路区信托宿舍,2室1厅1卫,82.50,南,https://nn.zu.ke.com/zufang/NN2052378724258545664.html
整租·东盟世纪村 2室2厅 南,1000,青秀区-柳沙-东盟世纪村,2室2厅1卫,88.00,南,https://nn.zu.ke.com/zufang/NN2047914945110081536.html
整租·广源悦府 3室2厅 东南,1500,良庆区-五象核心区-广源悦府,3室2厅2卫,113.00,东南,https://nn.zu.ke.com/zufang/NN2042553642208198656.html
整租·塞纳维拉花园 4室2厅 错层 南,5000,青秀区-凤岭北-塞纳维拉花园,4室2厅2卫,143.00,南,https://nn.zu.ke.com/zufang/NN1958409064580907008.html
整租·云星城 1室0厅 东南,2000,青秀区-星湖-云星城,1室0厅1卫,35.00,东南,https://nn.zu.ke.com/zufang/NN1958401914915782656.html
整租·亿鼎安吉商业广场 1室1厅 北,4600,西乡塘区-安吉-亿鼎安吉商业广场,1室1厅1卫,212.00,北,https://nn.zu.ke.com/zufang/NN1958359683706126336.html
整租·幸福里 2室2厅 南,8300,青秀区-东盟商务区-幸福里,2室2厅1卫,98.00,南,https://nn.zu.ke.com/zufang/NN1958444168111980544.html
整租·桂盐大厦 4室2厅 东南,4000,青秀区-金湖-桂盐大厦,4室2厅2卫,150.00,东南,https://nn.zu.ke.com/zufang/NN1957724238987132928.html
整租·凯业花园 4室2厅 南/北,5000,青秀区-青秀万达-凯业花园,4室2厅2卫,140.00,N/A,https://nn.zu.ke.com/zufang/NN1957817833966534656.html
整租·光明·澜湾九里 3室2厅 东南,1700,良庆区-五象核心区-光明 - 澜湾九里,3室2厅1卫,89.00,东南,https://nn.zu.ke.com/zufang/NN1958030999656857600.html
整租·和润园 4室2厅 南,5200,青秀区-东盟商务区-和润园,4室2厅2卫,158.00,南,https://nn.zu.ke.com/zufang/NN1958043304385839104.html
整租·绿地中央广场二期 3室2厅 南,5000,青秀区-青秀万达-绿地中央广场二期,3室2厅2卫,127.00,南,https://nn.zu.ke.com/zufang/NN1958559728694984704.html
整租·金州琅园 1室0厅 东南,1500,青秀区-金湖-金州琅园,1室0厅1卫,60.00,东南,https://nn.zu.ke.com/zufang/NN1958758749376086016.html
整租·万科金域蓝湾 3室2厅 南,1800,良庆区-五象湖-万科金域蓝湾,3室2厅2卫,89.00,南,https://nn.zu.ke.com/zufang/NN1958869226332618752.html
整租·万昌南湖景园 3室2厅 南/北,3800,青秀区-金湖-万昌南湖景园,3室2厅2卫,115.00,N/A,https://nn.zu.ke.com/zufang/NN1958795737869320192.html
整租·五象航洋城 2室1厅 南,3280,良庆区-五象核心区-五象航洋城,2室1厅0卫,82.00,南,https://nn.zu.ke.com/zufang/NN1959830806360752128.html
整租·雅典国际 1室1厅 复式 东,1100,青秀区-琅东-雅典国际,1室1厅1卫,40.00,东,https://nn.zu.ke.com/zufang/NN1959891832678645760.html
整租·五洲国际 2室2厅 复式 东南,3800,青秀区-东盟商务区-五洲国际,2室2厅2卫,93.00,东南,https://nn.zu.ke.com/zufang/NN1960273281764294656.html
整租·广西水产畜牧学校职工住宅楼 6室2厅 南,4600,青秀区-金湖-广西水产畜牧学校职工住宅楼,6室2厅2卫,189.00,南,https://nn.zu.ke.com/zufang/NN1959810656064503808.html
整租·国信信托宿舍 3室1厅 东南,3500,青秀区-金湖-国信信托宿舍,3室1厅1卫,110.00,东南,https://nn.zu.ke.com/zufang/NN1959498261425291264.html
整租·荣和·东盟国际 2室1厅 南,2800,青秀区-凤岭北-荣和 - 东盟国际,2室1厅1卫,72.00,南,https://nn.zu.ke.com/zufang/NN1959480686750466048.html
整租·彰泰江景湾 3室2厅 南,1800,邕宁区-龙岗-彰泰江景湾,3室2厅2卫,96.00,南,https://nn.zu.ke.com/zufang/NN1960302732573147136.html
整租·地王国际商会中心 4室1厅 东南,14500,青秀区-金湖-地王国际商会中心,4室1厅0卫,288.32,东南,https://nn.zu.ke.com/zufang/NN1960562830876868608.html
合租·广源大都会二期 4居室 东南/南卧,700,良庆区-五象核心区-广源大都会二期,4室2厅2卫,16.00,N/A,https://nn.zu.ke.com/zufang/NN1960648614036373504.html
整租·万科金域滨江 4室2厅 南/北,3000,邕宁区-龙岗-万科金域滨江,4室2厅2卫,143.00,N/A,https://nn.zu.ke.com/zufang/NN1960727219567329280.html
整租·利海亚洲国际 1室1厅 东南/南,1500,青秀区-东盟商务区-利海亚洲国际,1室1厅1卫,38.00,N/A,https://nn.zu.ke.com/zufang/NN1962099162023460864.html
整租·金之岛城市广场住宅 1室1厅 南,800,兴宁区-朝阳-金之岛城市广场住宅,1室1厅1卫,42.00,南,https://nn.zu.ke.com/zufang/NN1962368867464380416.html
整租·半岛融园小区 4室2厅 南/北,2300,青秀区-柳沙-半岛融园小区,4室2厅2卫,143.00,N/A,https://nn.zu.ke.com/zufang/NN1962172348958244864.html
整租·金旺角 1室0厅 南,700,青秀区-金湖-金旺角,1室0厅1卫,21.00,南,https://nn.zu.ke.com/zufang/NN1962830344021344256.html
整租·彰泰城B区 1室0厅 南,1400,良庆区-五象核心区-彰泰城B区,1室0厅1卫,39.36,南,https://nn.zu.ke.com/zufang/NN1962720930094383104.html
整租·青秀万达 1室1厅 东南,4000,青秀区-青秀万达-青秀万达,1室1厅1卫,110.00,东南,https://nn.zu.ke.com/zufang/NN1963096640709459968.html
整租·利海亚洲国际B区 1室0厅 南,1200,青秀区-东盟商务区-利海亚洲国际B区,1室0厅1卫,31.00,南,https://nn.zu.ke.com/zufang/NN1962438687010586624.html
整租·大唐盛世 6室2厅 南,5100,邕宁区-龙岗-大唐盛世,6室2厅2卫,287.00,南,https://nn.zu.ke.com/zufang/NN1963103361645412352.html
